Gender,Age,Height,Weight,BMI,EyesColor,Stability,Sociability,ZodiacSign,Relationship
Man,19-23,187,81,23.1633732734708,Dark,Stable,Introvert,Summer,Yes
Woman,19-23,165,55,20.2020202020202,Dark,Stable,Extrovert,Summer,Yes
Man,19-23,182,75,22.6421929718633,Dark,Unstable,Introvert,Winter,No
Woman,19-23,165,52,19.1000918273646,Dark,Stable,Extrovert,Fall,Yes
Man,19-23,181,80,24.4192790207869,Dark,Unstable,Introvert,Winter,No
Man,19-23,175,75,24.4897959183673,Dark,Unstable,Extrovert,Spring,No
Man,19-23,169,72,25.2092013584959,Light,Unstable,Extrovert,Fall,No
Man,19-23,169,65,22.7583067819754,Light,Stable,Extrovert,Fall,No
Man,19-23,173,76,25.3934311203181,Dark,Stable,Introvert,Summer,No
Man,19-23,174,67,22.1297397278372,Dark,Unstable,Introvert,Winter,Yes
Man,19-23,184,83,24.515595463138,Dark,Stable,Introvert,Summer,No
Man,19-23,187,105,30.0265949841288,Light,Stable,Introvert,Summer,No
Man,19-23,177,79,25.2162533116282,Dark,Stable,Extrovert,Summer,Yes
Man,19-23,186,95,27.4598219447335,Dark,Unstable,Extrovert,Fall,Yes
Woman,19-23,170,62,21.4532871972318,Dark,Unstable,Extrovert,Spring,Yes
Man,19-23,185,80,23.3747260774288,Dark,Stable,Introvert,Winter,No
Man,30+,185,90,26.2965668371074,Dark,Stable,Extrovert,Winter,Yes
Woman,30+,167,59,21.1552942020151,Light,Stable,Introvert,Spring,Yes
Man,30+,178,75,23.6712536295922,Dark,Stable,Introvert,Spring,Yes
Man,19-23,175,74,24.1632653061224,Light,Stable,Extrovert,Fall,Yes
Woman,19-23,165,52,19.1000918273646,Dark,Stable,Introvert,Spring,Yes
Woman,19-23,158,48,19.2276878705336,Dark,Unstable,Extrovert,Summer,Yes
Woman,19-23,157,45,18.2563187147552,Dark,Stable,Introvert,Summer,Yes
Man,19-23,180,72,22.2222222222222,Dark,Unstable,Introvert,Fall,Yes
Man,19-23,176,74,23.8894628099174,Dark,Unstable,Introvert,Fall,No
Man,19-23,183,90,26.8744961031981,Dark,Unstable,Extrovert,Summer,Yes
Man,19-23,180,74,22.8395061728395,Dark,Unstable,Extrovert,Fall,No
Man,19-23,180,85,26.2345679012346,Dark,Unstable,Introvert,Spring,No
Woman,19-23,163,73,27.4756294930182,Dark,Stable,Introvert,Spring,Yes
Man,19-23,184,80,23.6294896030246,Light,Stable,Extrovert,Winter,Yes
Man,19-23,175,77,25.1428571428571,Dark,Unstable,Extrovert,Summer,No
Man,19-23,183,74,22.096807907074,Dark,Stable,Extrovert,Summer,No
Woman,19-23,167,69,24.7409372871024,Dark,Stable,Extrovert,Summer,No
Woman,19-23,158,76,30.4438391283448,Light,Unstable,Extrovert,Summer,No
Man,19-23,190,93,25.7617728531856,Dark,Stable,Introvert,Summer,No
Man,18-,195,100,26.2984878369494,Light,Stable,Introvert,Fall,No
Woman,19-23,160,55,21.484375,Dark,Stable,Extrovert,Summer,Yes
Man,18-,180,76,23.4567901234568,Dark,Stable,Extrovert,Fall,Yes
Woman,30+,175,66,21.5510204081633,Dark,Unstable,Introvert,Summer,Yes
Man,18-,172,72,24.3374797187669,Dark,Unstable,Extrovert,Spring,Yes
Woman,24-29,173,60,20.0474456213038,Light,Unstable,Introvert,Fall,Yes
Man,24-29,175,75,24.4897959183673,Dark,Stable,Introvert,Winter,Yes
Man,24-29,175,63,20.5714285714286,Dark,Stable,Extrovert,Summer,No
Man,19-23,185,83,24.2512783053324,Dark,Unstable,Extrovert,Spring,Yes
Man,19-23,175,78,25.469387755102,Light,Stable,Introvert,Spring,No
Woman,24-29,186,61,17.632096196092,Dark,Stable,Extrovert,Summer,Yes
Woman,24-29,170,70,24.2214532871972,Light,Unstable,Extrovert,Summer,Yes
Man,24-29,178,70,22.0931700542861,Dark,Unstable,Introvert,Spring,No
Woman,24-29,162,49,18.6709343087944,Dark,Stable,Extrovert,Winter,No
Woman,19-23,167,71,25.4580659041199,Dark,Stable,Extrovert,Spring,Yes
Woman,24-29,168,54,19.1326530612245,Dark,Stable,Introvert,Winter,No
Woman,19-23,174,63,20.8085612366231,Dark,Unstable,Introvert,Winter,No
Man,24-29,180,80,24.6913580246914,Light,Stable,Extrovert,Winter,Yes
Man,24-29,170,60,20.7612456747405,Dark,Unstable,Introvert,Summer,No
Man,24-29,183,79,23.5898354683627,Dark,Unstable,Extrovert,Fall,No
